Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume,ReTX
1.58E+12,1/22/20 04:00,BTCUSD,8697.93,8784.28,8548.03,8559.71,585.6521529,0.030024548
1.58E+12,1/21/20 04:00,BTCUSD,8652.38,8776.25,8480,8697.93,876.974281,0.016147743
1.58E+12,1/20/20 04:00,BTCUSD,8647.68,8730.31,8510.02,8652.38,513.1403765,-0.005236878
1.58E+12,1/19/20 04:00,BTCUSD,9141,9152.39,8477.51,8647.68,1477.498937,-0.000543203
1.58E+12,1/18/20 04:00,BTCUSD,8914.92,9180.18,8810,9141,622.5345885,0.057046514
1.58E+12,1/17/20 04:00,BTCUSD,8774.03,9007.18,8750.79,8914.92,1186.859739,-0.024732524
1.58E+12,1/16/20 04:00,BTCUSD,8636.53,8820.58,8600,8774.03,631.5419845,-0.015803843
1.58E+12,1/15/20 04:00,BTCUSD,8727.32,8920.83,8561.12,8636.53,1123.98652,-0.015671248
1.58E+12,1/14/20 04:00,BTCUSD,8467.57,8897,8461.07,8727.32,2236.816252,0.010512324
1.58E+12,1/13/20 04:00,BTCUSD,8100.01,8488.32,8000,8467.57,2185.294765,-0.02976286
1.58E+12,1/12/20 04:00,BTCUSD,8086.45,8190.75,8071.23,8100.01,309.954781,-0.043407967
1.58E+12,1/11/20 04:00,BTCUSD,8160.66,8277.01,7972,8086.45,463.8437621,-0.001674072
1.58E+12,1/10/20 04:00,BTCUSD,7804,8250,7676,8160.66,1154.199165,0.00917708
1.58E+12,1/9/20 04:00,BTCUSD,7941.96,7998.1,7756.56,7804,841.6467612,-0.043704798
1.58E+12,1/8/20 04:00,BTCUSD,8301.6,8412.06,7871.01,7941.96,1432.342748,0.017678114
1.58E+12,1/7/20 04:00,BTCUSD,7899.33,8463,7737.5,8301.6,1810.61834,0.045283532
1.58E+12,1/6/20 04:00,BTCUSD,7535.91,8000,7489.18,7899.33,1451.476657,-0.048456924
1.58E+12,1/5/20 04:00,BTCUSD,7468.87,7579.51,7313.53,7535.91,595.9816135,-0.046006433
1.58E+12,1/4/20 04:00,BTCUSD,7328.98,7472.25,7258.53,7468.87,509.4810515,-0.008896072
1.58E+12,1/3/20 04:00,BTCUSD,6930.1,7398,6930.1,7328.98,1229.689995,-0.018729741
1.58E+12,1/2/20 04:00,BTCUSD,7100.02,7150,6860,6930.1,1048.256623,-0.054425036
1.58E+12,1/1/20 04:00,BTCUSD,7199.04,7231.65,7100.01,7100.02,487.7736245,0.024519127
1.58E+12,12/31/19 04:00,BTCUSD,7210.56,7300,7115.02,7199.04,1120.433534,0.01394644
1.58E+12,12/30/19 04:00,BTCUSD,7340.05,7382.2,7180,7210.56,740.0091762,0.001600213
1.58E+12,12/29/19 04:00,BTCUSD,7298.01,7521.92,7279.95,7340.05,345.9693588,0.017958383
1.58E+12,12/28/19 04:00,BTCUSD,7276.81,7349.24,7254.09,7298.01,372.8688524,-0.005727481
1.58E+12,12/27/19 04:00,BTCUSD,7209.32,7315.94,7062.39,7276.81,922.4842387,-0.002904901
1.58E+12,12/26/19 04:00,BTCUSD,7173.62,7429.99,7155,7209.32,1237.597444,-0.009274668
1.58E+12,12/25/19 04:00,BTCUSD,7231.26,7266,7122.5,7173.62,227.5348039,-0.004951923
1.58E+12,12/24/19 04:00,BTCUSD,7312.65,7426.14,7162.5,7231.26,553.8290128,0.008034995
1.58E+12,12/23/19 04:00,BTCUSD,7601.16,7690,7270,7312.65,1011.536599,0.0112553
1.58E+12,12/22/19 04:00,BTCUSD,7140.94,7638.87,7130,7601.16,857.0092825,0.03945355
1.58E+12,12/21/19 04:00,BTCUSD,7165.18,7184.21,7116.08,7140.94,275.5765173,-0.060546022
1.58E+12,12/20/19 04:00,BTCUSD,7127.45,7218,7078.34,7165.18,607.712291,0.003394511
1.58E+12,12/19/19 04:00,BTCUSD,7168.49,7168.49,7168.49,7168.49,0,0.000461956
1.58E+12,12/18/19 04:00,BTCUSD,6682.33,7448,6435.38,7168.49,1882.111813,0
1.58E+12,12/17/19 04:00,BTCUSD,6865.77,6928.4,6560.04,6682.33,1665.204428,-0.067819025
1.58E+12,12/16/19 04:00,BTCUSD,7065.45,7065.45,7065.45,7065.45,0,0.057333295
1.58E+12,12/15/19 04:00,BTCUSD,7048.99,7212.02,7032.15,7065.45,289.8319878,0
1.58E+12,12/14/19 04:00,BTCUSD,7249.48,7265.4,7010.01,7048.99,413.2166211,-0.002329646
1.58E+12,12/13/19 04:00,BTCUSD,7215.82,7297.6,7193.42,7249.48,675.4578864,0.028442373
1.58E+12,12/12/19 04:00,BTCUSD,7154.82,7154.82,7154.82,7154.82,0,-0.013057488
1.58E+12,12/11/19 04:00,BTCUSD,7206.77,7299.39,7082.93,7154.82,931.1352444,0
1.58E+12,12/10/19 04:00,BTCUSD,7376.76,7385.2,7167.5,7206.77,670.716428,0.00726084
1.58E+12,12/9/19 04:00,BTCUSD,7517.82,7652,7287.09,7376.76,1017.132841,0.023587543
1.58E+12,12/8/19 04:00,BTCUSD,7415.16,7575.25,7396.31,7517.82,254.4729663,0.019122216
1.58E+12,12/7/19 04:00,BTCUSD,7546.35,7636.39,7392.54,7415.16,475.0609385,-0.013655554
1.58E+12,12/6/19 04:00,BTCUSD,7377.49,7607.07,7305,7546.35,1033.596003,0.017692133
1.58E+12,12/5/19 04:00,BTCUSD,7215.49,7215.49,7215.49,7215.49,0,-0.043843713
1.58E+12,12/4/19 04:00,BTCUSD,7153.72,7820.75,7091.59,7215.49,2112.567151,0
1.58E+12,12/3/19 04:00,BTCUSD,7359.65,7367.6,7112.51,7153.72,904.3255328,-0.008560749
1.58E+12,12/2/19 04:00,BTCUSD,7365.28,7413.27,7170.01,7359.65,922.057766,0.028786422
1.58E+12,12/1/19 04:00,BTCUSD,7295.55,7474.22,7242.26,7365.28,400.4220683,0.000764982
1.58E+12,11/30/19 04:00,BTCUSD,7748.26,7811.38,7249.13,7295.55,750.7161227,-0.009467393
1.58E+12,11/29/19 04:00,BTCUSD,7492.85,7860.95,7431.93,7748.26,1119.424549,0.062052895
1.57E+12,11/28/19 04:00,BTCUSD,7507.18,7651.63,7375.03,7492.85,647.5571409,-0.03296353
1.57E+12,11/27/19 04:00,BTCUSD,7073.3,7669.56,6849.95,7507.18,1975.76312,0.00191249
1.57E+12,11/26/19 04:00,BTCUSD,7241.86,7338.99,7028.27,7073.3,1109.095498,-0.057795337
1.57E+12,11/25/19 04:00,BTCUSD,6682.52,7376.9,6523.92,7241.86,2419.475732,0.023830461
1.57E+12,11/24/19 04:00,BTCUSD,7227.12,7279.49,6619,6682.52,1375.529616,-0.077237063
1.57E+12,11/23/19 04:00,BTCUSD,7292.6,7349.22,7112.51,7227.12,587.24866,0.081496202
1.57E+12,11/22/19 04:00,BTCUSD,7587.78,7718.29,6789,7292.6,3685.697145,0.009060317
1.57E+12,11/21/19 04:00,BTCUSD,8106.03,8106.03,8106.03,8106.03,0,0.111541837
1.57E+12,11/20/19 04:00,BTCUSD,8141.03,8218,8028.05,8106.03,883.906226,0
